attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
20787,TOR,NOP,79.32961993457276,54.08346590909091,80.35398027898029,55.202307736563576,,,,,,,1,0.0,20.0,Tony Brown,Eric Dalen,Josh Tiven,57.1,1113.2
19068,LAC,LAL,57.01159652690863,60.40823101629553,76.0387136672851,34.94499211506705,,,,,,,0,0.0,22.5,Kane Fitzgerald,Mark Lindsay,Dedric Taylor,76.54,0.0
15424,CHO,CHI,60.02316534040672,60.3416568452174,62.07626373626374,58.10828484718276,,,,,,,1,0.005681818181818182,19.0,Rodney Mott,Gediminas Petraitis,Leroy Richardson,57.13,587.1
17923,IND,DET,77.90169982073047,49.44194207685071,57.52652142672232,76.58873209824823,,,,,,,1,0.005681818181818182,19.0,Marc Davis,Brett Nansel,Ben Taylor,42.54,488.3
18846,ORL,CLE,75.10818744934066,48.63988095238096,73.76398305084746,28.930313662945238,,,,,,,0,0.005681818181818182,19.0,Brent Barnaky,Eric Lewis,Haywoode Workman,76.45,893.8
17732,BRK,MIN,69.72072268009768,62.22779095904096,76.30544232714817,58.056421970553615,,,,,,,1,0.005681818181818182,19.5,Pat Fraher,Derek Richardson,Kevin Scott,49.76,1023.2
19600,MIA,MEM,62.11267796817362,62.32958410918312,58.586653575680934,52.673847257576064,,,,,,,1,0.005681818181818182,19.5,John Goble,Simone Jelks,Karl Lane,83.83,872.5
20422,PHI,BOS,85.35058598808598,49.12255966725422,90.64507366788523,45.11421754121231,,,,,,,0,0.005681818181818182,19.5,Sean Corbin,Marat Kogut,Sean Wright,59.28,271.0
19816,DAL,WAS,68.82263547998842,49.484057307844076,71.05118336210586,62.63443443443443,,,,,,,0,0.005681818181818182,20.5,Nick Buchert,Ken Mauer,Jonathan Sterling,68.63,1183.8
18354,SAS,NYK,69.35806130708379,55.117406031240996,67.78246753246752,42.459714966697135,,,,,,,1,0.005681818181818182,20.5,David Guthrie,Jenna Schroeder,Scott Twardoski,70.38,1583.2
