,Unnamed: 0,date,start_time,vis_team,home_team,vis_points,home_points,ot,attendance,home_initial,vis_initial,home_players,home_bench,vis_players,vis_bench,referees,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,total_score,class,frac_season,day_hour
0,0,2019-10-22,20:00:00,New Orleans Pelicans,Toronto Raptors,122,130,1,20787,TOR,NOP,"Kyle Lowry,Fred VanVleet,Pascal Siakam,OG Anunoby,Marc Gasol","Norman Powell,Serge Ibaka,Terence Davis,Matt Thomas,Chris Boucher,Stanley Johnson,Malcolm Miller,Dewan Hernandez","Jrue Holiday,Brandon Ingram,J.J. Redick,Lonzo Ball,Derrick Favors","Josh Hart,Nicolò Melli,Kenrich Williams,Frank Jackson,Jahlil Okafor,E'Twaun Moore,Nickeil Alexander-Walker,Jaxson Hayes","Tony Brown,Eric Dalen,Josh Tiven",79.32961993457276,54.08346590909091,80.35398027898029,55.202307736563576,,,,,,,252,1,0.0,20.0
1,1,2019-10-22,22:30:00,Los Angeles Lakers,Los Angeles Clippers,102,112,0,19068,LAC,LAL,"Kawhi Leonard,Patrick Beverley,Landry Shamet,Patrick Patterson,Ivica Zubac","Montrezl Harrell,Lou Williams,Maurice Harkless,JaMychal Green,Jerome Robinson,Mfiondu Kabengele,Terance Mann,Johnathan Motley","Anthony Davis,LeBron James,Danny Green,Avery Bradley,JaVale McGee","Kentavious Caldwell-Pope,Dwight Howard,Quinn Cook,Troy Daniels,Jared Dudley,Alex Caruso,Zach Norvell,Kostas Antetokounmpo","Kane Fitzgerald,Mark Lindsay,Dedric Taylor",57.01159652690863,60.40823101629553,76.0387136672851,34.94499211506705,,,,,,,214,0,0.0,22.5
2,2,2019-10-23,19:00:00,Chicago Bulls,Charlotte Hornets,125,126,0,15424,CHO,CHI,"P.J. Washington,Cody Zeller,Dwayne Bacon,Miles Bridges,Terry Rozier","Devonte' Graham,Marvin Williams,Malik Monk,Nicolas Batum,Willy Hernangómez,Michael Kidd-Gilchrist,Caleb Martin,Bismack Biyombo","Lauri Markkanen,Zach LaVine,Wendell Carter,Otto Porter,Tomáš Satoranský","Coby White,Thaddeus Young,Kris Dunn,Ryan Arcidiacono,Luke Kornet,Denzel Valentine,Daniel Gafford,Shaquille Harrison","Rodney Mott,Gediminas Petraitis,Leroy Richardson",60.02316534040672,60.3416568452174,62.07626373626374,58.10828484718276,,,,,,,251,1,0.005681818181818182,19.0
3,3,2019-10-23,19:00:00,Detroit Pistons,Indiana Pacers,119,110,0,17923,IND,DET,"Myles Turner,Malcolm Brogdon,Domantas Sabonis,T.J. Warren,Jeremy Lamb","Edmond Sumner,Justin Holiday,T.J. McConnell,Doug McDermott,Aaron Holiday,T.J. Leaf,Goga Bitadze,JaKarr Sampson","Andre Drummond,Tony Snell,Bruce Brown,Markieff Morris,Reggie Jackson","Luke Kennard,Derrick Rose,Langston Galloway,Thon Maker,Christian Wood,Tim Frazier,Sviatoslav Mykhailiuk,Khyri Thomas","Marc Davis,Brett Nansel,Ben Taylor",77.90169982073047,49.44194207685071,57.52652142672232,76.58873209824823,,,,,,,229,1,0.005681818181818182,19.0
4,4,2019-10-23,19:00:00,Cleveland Cavaliers,Orlando Magic,85,94,0,18846,ORL,CLE,"Nikola Vučević,Aaron Gordon,Evan Fournier,D.J. Augustin,Jonathan Isaac","Al-Farouq Aminu,Markelle Fultz,Terrence Ross,Michael Carter-Williams,Mohamed Bamba,Khem Birch,Wesley Iwundu,Melvin Frazier","Kevin Love,Tristan Thompson,Darius Garland,Collin Sexton,Cedi Osman","Larry Nance,Jordan Clarkson,Matthew Dellavedova,Kevin Porter,Brandon Knight,Tyler Cook,Dean Wade","Brent Barnaky,Eric Lewis,Haywoode Workman",75.10818744934066,48.63988095238096,73.76398305084746,28.930313662945238,,,,,,,179,0,0.005681818181818182,19.0
5,5,2019-10-23,19:30:00,Minnesota Timberwolves,Brooklyn Nets,127,126,1,17732,BRK,MIN,"Taurean Waller-Prince,Joe Harris,Kyrie Irving,Caris LeVert,Jarrett Allen","Spencer Dinwiddie,Garrett Temple,DeAndre Jordan,David Nwaba,Rodions Kurucs,Džanan Musa,Theo Pinson,Wilson Chandler","Karl-Anthony Towns,Andrew Wiggins,Treveon Graham,Jeff Teague,Robert Covington","Jake Layman,Shabazz Napier,Jarrett Culver,Josh Okogie,Noah Vonleh,Kelan Martin,Jordan Bell,Gorgui Dieng","Pat Fraher,Derek Richardson,Kevin Scott",69.72072268009768,62.22779095904096,76.30544232714817,58.056421970553615,,,,,,,253,1,0.005681818181818182,19.5
6,6,2019-10-23,19:30:00,Memphis Grizzlies,Miami Heat,101,120,0,19600,MIA,MEM,"Justise Winslow,Tyler Herro,Kendrick Nunn,Bam Adebayo,Meyers Leonard","Goran Dragić,Duncan Robinson,Kelly Olynyk,Derrick Jones,Chris Silva,KZ Okpala,Daryl Macon,Jimmy Butler","Jae Crowder,Jaren Jackson,Ja Morant,Dillon Brooks,Jonas Valančiūnas","Marko Guduric,Tyus Jones,Brandon Clarke,Kyle Anderson,Grayson Allen,Bruno Caboclo,De'Anthony Melton,Solomon Hill","John Goble,Simone Jelks,Karl Lane",62.11267796817362,62.32958410918312,58.586653575680934,52.673847257576064,,,,,,,221,1,0.005681818181818182,19.5
7,7,2019-10-23,19:30:00,Boston Celtics,Philadelphia 76ers,93,107,0,20422,PHI,BOS,"Tobias Harris,Ben Simmons,Josh Richardson,Al Horford,Joel Embiid","Matisse Thybulle,Furkan Korkmaz,James Ennis,Mike Scott,Kyle O'Quinn,Raul Neto,Shake Milton,Trey Burke","Jayson Tatum,Gordon Hayward,Kemba Walker,Enes Kanter,Jaylen Brown","Marcus Smart,Carsen Edwards,Robert Williams,Daniel Theis,Semi Ojeleye,Grant Williams,Brad Wanamaker,Vincent Poirier","Sean Corbin,Marat Kogut,Sean Wright",85.35058598808598,49.12255966725422,90.64507366788523,45.11421754121231,,,,,,,200,0,0.005681818181818182,19.5
8,8,2019-10-23,20:30:00,Washington Wizards,Dallas Mavericks,100,108,0,19816,DAL,WAS,"Luka Dončić,Kristaps Porziņģis,Maxi Kleber,Delon Wright,Courtney Lee","Dorian Finney-Smith,Jalen Brunson,Tim Hardaway,Seth Curry,Justin Jackson,J.J. Barea,Boban Marjanović,Isaiah Roby","Bradley Beal,Thomas Bryant,Rui Hachimura,Ish Smith,Isaac Bonga","Dāvis Bertāns,Jordan McRae,Chris Chiozza,Moritz Wagner,Admiral Schofield,Garrison Mathews,Justin Robinson,Isaiah Thomas","Nick Buchert,Ken Mauer,Jonathan Sterling",68.82263547998842,49.484057307844076,71.05118336210586,62.63443443443443,,,,,,,208,0,0.005681818181818182,20.5
9,9,2019-10-23,20:30:00,New York Knicks,San Antonio Spurs,111,120,0,18354,SAS,NYK,"LaMarcus Aldridge,Bryn Forbes,DeMar DeRozan,Trey Lyles,Dejounte Murray","Derrick White,Rudy Gay,Marco Belinelli,Patty Mills,Jakob Poeltl,DeMarre Carroll,Chimezie Metu,Lonnie Walker","Marcus Morris,RJ Barrett,Julius Randle,Bobby Portis,Allonzo Trier","Elfrid Payton,Kevin Knox,Taj Gibson,Wayne Ellington,Dennis Smith,Frank Ntilikina,Damyean Dotson,Ignas Brazdeikis","David Guthrie,Jenna Schroeder,Scott Twardoski",69.35806130708379,55.117406031240996,67.78246753246752,42.459714966697135,,,,,,,231,1,0.005681818181818182,20.5
